radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,222,10,12037,6785057,0,9.2168,45.4644,1000,11,1,1458927062,1757757423,0
LTE,222,88,10997,31236615,0,9.2289,45.4814,1000,5,1,1511883300,1742984403,0
UMTS,222,88,14511,31617238,0,9.2185,45.4836,1000,11,1,1517421215,1749590822,0
LTE,222,88,10998,31396352,0,9.2139,45.4768,1769,4,1,1552501201,1766680681,0
LTE,222,50,10997,31268098,-1,9.2398,45.4772,1021,24,1,1574932478,1777295461,0
LTE,222,50,10974,31409152,-1,9.2399,45.4655,1586,19,1,1577121573,1777295461,0
UMTS,222,50,14511,31603895,34,9.2317,45.4844,1727,16,1,1578623057,1740051483,0
LTE,222,50,55220,256473939,-1,9.2163,45.4879,5302,6,1,1579657189,1754406023,0
LTE,222,50,10997,31268102,-1,9.2379,45.4841,1000,8,1,1581929573,1775387223,0
LTE,222,50,10997,31268108,-1,9.2384,45.4856,1000,10,1,1581929574,1762603023,0
LTE,222,50,10997,31268096,-1,9.2355,45.4853,1986,10,1,1581929615,1777295461,0
LTE,222,50,55226,256019773,-1,9.2184,45.4838,635,36,1,1590891544,1756806841,0
LTE,222,50,55226,256085309,-1,9.2158,45.4822,500,25,1,1590891584,1767460264,0
LTE,222,50,55226,256085310,-1,9.2165,45.4767,604,27,1,1590891654,1767452524,0
LTE,222,50,55229,256074301,-1,9.2137,45.4692,5125,31,1,1590891844,1767545702,0
LTE,222,50,55229,256020287,-1,9.2237,45.4671,711,50,1,1590891964,1767452524,0
LTE,222,50,55229,256074302,-1,9.2134,45.4653,1000,22,1,1590891974,1765193522,0
LTE,222,50,55229,256020245,-1,9.2232,45.4733,918,50,1,1594956807,1756460461,0
LTE,222,50,55226,256085311,-1,9.2137,45.4798,531,36,1,1594957382,1767452524,0
LTE,222,50,55229,256020286,-1,9.2239,45.4698,914,50,1,1594985096,1767452524,0
LTE,222,50,55226,256001558,-1,9.2348,45.4791,1000,9,1,1594991101,1773601982,0
