radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,AssumedFrequency_MHz,AssumedTxPower_dBm,AssumedAntennaHeight_m
LTE,222,88,10997,31236615,0,9.2289,45.4814,1000,5,1,1511883300,1742984403,0,1800,40,25
LTE,222,50,55226,256001558,-1,9.2348,45.4791,1000,9,1,1594991101,1773601982,0,1800,40,25
LTE,222,50,55226,256076350,-1,9.2241,45.4773,500,50,1,1596128176,1756806841,0,1800,40,25
LTE,222,50,55226,256076310,-1,9.225,45.4779,981,28,1,1602837631,1756806841,0,1800,40,25
LTE,222,10,12040,6905375,-1,9.2241,45.4752,500,50,1,1620565410,1762668849,0,1800,40,25
LTE,222,10,12040,7455265,-1,9.2242,45.4769,1000,10,1,1621089082,1764804902,0,1800,40,25
LTE,222,10,12040,7455285,-1,9.2247,45.4766,1000,21,1,1621089178,1764804902,0,1800,40,25
LTE,222,10,12040,7400480,-1,9.227,45.4788,500,29,1,1624843648,1762668850,0,1800,40,25
LTE,222,10,12040,7400993,-1,9.2342,45.4748,1000,6,1,1625189726,1740732003,0,1800,40,25
LTE,222,10,12040,7450923,-1,9.227,45.4831,1000,5,1,1653797353,1764804902,0,1800,40,25
LTE,222,50,55226,256001619,-1,9.2305,45.4833,1000,12,1,1662263040,1756805281,0,1800,40,25
LTE,222,10,12040,7651617,-1,9.229,45.4786,1000,9,1,1740617976,1762668849,0,1800,40,25
LTE,222,10,12040,6502689,-1,9.2303,45.477,1000,4,1,1740618096,1740732003,0,1800,40,25
LTE,222,10,12040,7651872,-1,9.2323,45.4771,1000,7,1,1740618216,1740732003,0,1800,40,25
LTE,222,10,12040,7651616,-1,9.2305,45.4789,1000,8,1,1740627818,1762668849,0,1800,40,25
LTE,222,10,12040,7651627,-1,9.2291,45.4791,1000,9,1,1740627941,1752056701,0,1800,40,25
LTE,222,50,55226,256001559,-1,9.2298,45.4831,1000,9,1,1756785547,1767377701,0,1800,40,25
LTE,222,10,12040,6404384,-1,9.2353,45.4808,1000,6,1,1756536422,1762668850,0,1800,40,25
LTE,222,10,12040,7450891,-1,9.2264,45.4829,1000,5,1,1764769552,1764804902,0,1800,40,25
LTE,222,10,12040,7400459,-1,9.2255,45.4811,1000,4,1,1764778911,1764804902,0,1800,40,25
LTE,222,10,12040,7400461,-1,9.2235,45.4806,1000,4,1,1764779131,1764804902,0,1800,40,25
